Company Name,LinkedIn,Website,Technologies,Company Size,Industry,Phone,Connections,Associated Members
AbbaTek Group,https://www.linkedin.com/company/abbatek/,https://abbatekgroup.com/,"{'Front End': ['TypeScript', 'React.js'], 'Back End': ['TypeScript', 'Node.js', 'Express'], 'Database': ['Postgres'], 'Cloud Provider': ['AWS']}",2-10,Software Development,,4,5
Avalon Holographics,https://www.linkedin.com/company/avalon-holographics/,https://www.avalonholographics.com/,"{'Back End': ['C++', 'HLSL', 'GLSL', 'Python', 'UE4', 'Unity', 'DirectX', 'Vulkan', 'OpenGL', 'Metal']}",51-200,Computers and Electronics Manufacturing,,16,70
Bluedrop,https://www.linkedin.com/company/bluedrop-ism/,https://bluedropism.com/,"{'Front End': ['JavaScript', 'React.js'], 'Back End': ['JavaScript', 'GraphQL', 'Node.js', 'RESTful API'], 'Database': ['Postgres']}",51-200,E-Learning Providers,1.800.563.3638,15,48
Breathesuite,https://www.linkedin.com/company/breathesuite/,https://www.breathesuite.com/,"{'Front End': ['JavaScript', 'Angular', 'Ionic', 'Cordova'], 'Back End': ['C', 'Python'], 'Cloud Provider': ['AWS', 'Firebase']}",11-50,Medical Equipment Manufacturing,,16,21
C-CORE,https://www.linkedin.com/company/c-core/,https://c-core.ca/,"{'Front End': ['React.js', 'TypeScript', 'Chakra UI', 'TanStack Query', 'React Router', 'Mapbox GL JS', 'Storybook'], 'Back End': ['Python', 'FastAPI', 'SQLModel', 'STAC (SpatioTemporal Asset Catalogs)', 'Jupyter Notebooks', 'F#', '.NET'], 'Database': ['Postgres', 'Firestore', 'PostGIS'], 'DevOps Tools': ['Docker', 'Terraform', 'kubernetes', 'GCP Cloud Run', 'GitHub Actions'], 'Cloud Provider': ['GCP', 'AWS', 'On-premises']}",51-200,Research,,20,101
Celtx,https://www.linkedin.com/company/celtx/,https://www.celtx.com/,"{'Front End': ['JS', 'TypeScript', 'ProseMirror', 'React'], 'Back End': ['Python (numpy/scipy/pandas/dask/FastAPI)', 'JS', 'TypeScript', 'Perl', 'Objective-C', 'Node.js', 'Java', 'Unity/C#', 'Unreal/C++'], 'DevOps Tools': ['CodeBuild', 'Selenium'], 'Cloud Provider': ['AWS', 'DynamoDB', 'SimpleDB', 'GCP', 'Docker']}",51-200,Media Production,,8,16
ClearRisk,https://www.linkedin.com/company/clearrisk-inc/,https://www.clearrisk.com/,"{'Back End': ['Salesforce', 'Python', 'Java', 'JS', 'Node.js'], 'Database': ['SQL'], 'Cloud Provider': ['AWS (EC2', 'S3', 'Glue', 'Athena)']}",51-200,Software Development,,17,37
ClockWork Fox (Zorbit's),https://www.linkedin.com/company/clockwork-fox-studios/,https://www.zorbitsmath.com/,"{'Front End': ['JS', 'TypeScript', 'Angular.js'], 'Back End': ['C#', 'Java', 'Unity'], 'Database': ['SQL', 'MariaDB'], 'Cloud Provider': ['AWS']}",11-50,E-Learning Providers,,3,5
Colab Software,https://www.linkedin.com/company/colabsoftware/,https://www.colabsoftware.com/,"{'Front End': ['JS', 'React.js'], 'Back End': ['Python', 'Flask', 'graphQL'], 'Database': ['Postgres'], 'DevOps Tools': ['Terraform'], 'Cloud Provider': ['AWS']}",51-200,Software Development,,39,110
Fonemed,https://www.linkedin.com/company/fonemed/,https://www.fonemed.com/,"{'Front End': ['React.js', 'Javascript', 'React Native', 'Javascript'], 'Back End': ['Node.js', 'Ruby'], 'Database': ['DynamoDB', 'Postgres'], 'DevOps Tools': ['Docker'], 'Cloud Provider': ['AWS']}",201-500,Hospitals and Health Care,1-800-366-3633,6,149
